"id","sku_name","base_price","cogs","category"
"P317940","AKL_A131130531_SS-174_Lime Green",51475,36018,"Women Fashion"
"P940996","AKL_A131130529_SS-173_Blue",51475,32422,"Women Fashion"
"P307198","AKL_A131130532_SS-174_Peach",51475,37526,"Women Fashion"
"P154882","Echange_EP_17-41",50993.6,34626,"Men Fashion"
"P565266","Echange_EP_20",50993.6,35148,"Men Fashion"
"P109476","saloni_Golden Pearl 12",50677.5,33408,"Beauty & Grooming"
"P723494","ajmery_SSB-5963-XL",49534.9,31668,"Men Fashion"
"P735512","IT_Ice Towel - 01",49250.7,35438,"Home & Living"
"P902272","Aybeez_ABZ-295-M",48685.2,34510,"Men Fashion"
"P100684","Aybeez_ABZ-295-S",48685.2,35032,"Men Fashion"
"P948807","AKL_A131128825_SS-117_Pink",48575,33988,"Women Fashion"
"P838948","iGeek_Urbanista San Francisco Earphone - Red",47764.74,40600,"Mobiles & Tablets"
"P551601","Echange_EP_13",46353.6,29174,"Women Fashion"
"P752528","ss_DNM-25-slim-fit-29",46353.6,31958,"Men Fashion"
"P141423","AKL_A131130525_SS-113_Beige",45675,29232,"Women Fashion"
"P546715","ajmery_TH281FA0CZKZSNAFAMZ-Large",44631,29000,"Men Fashion"
"P270350","ajmery_TH281FA167YSONAFAMZ-Medium",44631,27202,"Women Fashion"
"P852279","Xarasoft_2806-TAN-43",44619.4,37874,"Men Fashion"
"P759232","Xarasoft_2807-TAN-39",44619.4,37468,"Men Fashion"
"P990050","Xarasoft_2806-TAN-41",44619.4,27202,"Men Fashion"
"P483559","Xarasoft_2807-TAN-44",44619.4,38802,"Men Fashion"
"P407013","Xarasoft_2806-TAN-40",44619.4,37468,"Men Fashion"
"P147815","AKL_DL-17-GREEN",43471,27376,"Women Fashion"
"P826144","AKL_DL-12-BLUE",43471,26506,"Women Fashion"
"P295853","AKL_DL-14-GREEN",43471,32132,"Women Fashion"
"P297705","BWS_N017B",43456.5,26506,"Women Fashion"
"P543718","BWS_B019A",43456.5,36888,"Women Fashion"
"P753291","UnzeLondon_BG6974",43355,32944,"Women Fashion"
"P771739","AT-FSCB-6",43102.7,28826,"Kids & Baby"
"P571856","Xarasoft_2541-BLACK-42",42589.4,28942,"Men Fashion"
"P334226","Xarasoft_2541-BLACK-43",42589.4,26796,"Men Fashion"
"P577229","Xarasoft_2920-TAN-43",42589.4,37874,"Men Fashion"
"P238304","Aybeez_ABZ-271-L",41725.2,31262,"Men Fashion"
"P813753","Aybeez_ABZ-274-L",41725.2,26274,"Men Fashion"
"P599052","Aybeez_ABZ-274-XL",41725.2,25404,"Men Fashion"
"P609201","Aybeez_ABZ-270-XL",41725.2,35032,"Men Fashion"
"P162341","Aybeez_ABZ-296-L",41725.2,37120,"Men Fashion"
"P513548","Aybeez_ABZ-251-L",41725.2,35032,"Men Fashion"
"P308597","Aybeez_ABZ-271-M",41725.2,25404,"Men Fashion"
"P361758","Aybeez_ABZ-279-XL",41725.2,32074,"Men Fashion"
"P460038","Aybeez_ABZ-279-M",41725.2,27898,"Men Fashion"
"P446409","Aybeez_ABZ-274-M",41725.2,35438,"Men Fashion"
"P209138","Aybeez_ABZ-271-XL",41725.2,28768,"Men Fashion"
"P724944","Aybeez_ABZ-274-S",41725.2,37526,"Men Fashion"
"P744665","Aybeez_ABZ-279-S",41725.2,32538,"Men Fashion"
"P561893","Aybeez_ABZ-296-M",41725.2,31262,"Men Fashion"
"P131355","Aybeez_ABZ-251-M",41725.2,35032,"Men Fashion"
"P315316","Aybeez_ABZ-271-S",41725.2,27492,"Men Fashion"
"P769592","Aybeez_ABZ-270-S",41725.2,29174,"Men Fashion"
"P165973","Aybeez_ABZ-296-XL",41725.2,28362,"Men Fashion"
"P336014","iGeek_3D Mini VR Lens ",40873.18,35960,"Mobiles & Tablets"
"P823960","ihijab_CN013",40559.4,27550,"Women Fashion"
"P580804","ihijab_CN011",40559.4,35264,"Women Fashion"
"P761073","Xarasoft_5002-RED-43",40559.4,32828,"Men Fashion"
"P175574","Brand City_Mona99-Red-8",40397,34684,"Women Fashion"
"P110268","Brand City_Mona99-Brown-9",40397,30276,"Women Fashion"
"P122722","Brand City_Mona99-Beige-10",40397,27840,"Women Fashion"
"P825632","Brand City_Mona99-Black-8",40397,33118,"Women Fashion"
"P938347","AYS_Haier-18HNF",3931789.26,3499256,"Appliances"
"P914060","ajmery_TH281FA1DHO3CNAFAMZ-Small",38514.9,33466,"Women Fashion"
"P709574","ajmery_TH281FA1DHO3CNAFAMZ-Medium",38514.9,34626,"Women Fashion"
"P642347","ajmery_TH281FA1DHO3CNAFAMZ-Large",38514.9,25404,"Women Fashion"
"P282718","AT-CWSC-1",38259.7,30218,"Kids & Baby"
"P332473","Aybeez_ABZ-283-XL",38248.1,32074,"Men Fashion"
"P205626","Aybeez_ABZ-283-M",38248.1,33640,"Men Fashion"
"P962053","Aybeez_ABZ-276-M",38248.1,30160,"Men Fashion"
"P587945","Aybeez_ABZ-276-L",38248.1,27492,"Men Fashion"
"P362038","Aybeez_ABZ-283-L",38248.1,23316,"Men Fashion"
"P758503","Aybeez_ABZ-276-XL",38248.1,25230,"Men Fashion"
"P973939","Aybeez_ABZ-276-S",38248.1,25984,"Men Fashion"
"P597944","Aybeez_ABZ-278-L",38245.2,23664,"Men Fashion"
"P322328","Aybeez_ABZ-284-XL",38245.2,26332,"Men Fashion"
"P311452","Aybeez_ABZ-294-S",38245.2,29406,"Men Fashion"
"P447701","Aybeez_ABZ-278-XL",38245.2,27492,"Men Fashion"
"P474957","R-tree_RT1398-Medium",38245.2,26332,"Men Fashion"
"P719000","Aybeez_ABZ-278-S",38245.2,25578,"Men Fashion"
"P998969","Aybeez_ABZ-284-M",38245.2,22910,"Men Fashion"
"P966118","Aybeez_ABZ-284-L",38245.2,29058,"Men Fashion"
"P295823","R-tree_RT1387-Medium",38245.2,30566,"Men Fashion"
"P660056","R-tree_RT1397-Medium",38245.2,25984,"Men Fashion"
"P663814","Aybeez_ABZ-284-S",38245.2,26332,"Men Fashion"
"P239808","Aybeez_ABZ-278-M",38245.2,29058,"Men Fashion"
"P984980","R-tree_RT1371-M",38245.2,26332,"Men Fashion"
"P230718","Aybeez_ABZ-294-M",38245.2,29406,"Men Fashion"
"P942508","emo_Emo-MH-25180-XL",36499.4,28420,"Men Fashion"
"P453200","emo_Emo-MH-25090-L",36499.4,31378,"Men Fashion"
"P367137","ihijab_PN047",36499.4,25172,"Women Fashion"
"P512590","Brand City_V21-White-8",36337,24302,"Women Fashion"
"P989645","Valarie_CAM 02 RD-M",35815,23954,"Women Fashion"
"P251168","R-tree_RT1409-L",34765.2,21518,"Men Fashion"
"P777790","Echange_EP_22",34753.6,24998,"Men Fashion"
"P304651","BWS_B018E",32625,27724,"Women Fashion"
"P310913","BWS_PN049B",32625,25114,"Women Fashion"
"P573446","BWS_PN048C",32625,20532,"Women Fashion"
"P776387","BWS_MR007B",32625,20184,"Women Fashion"
"P393957","BWS_PN002B",32625,29000,"Women Fashion"
"P406828","BWS_PN047B",32625,22156,"Women Fashion"
"P418343","BWS_R014B-7",32625,23490,"Women Fashion"
"P942642","BWS_B017B",32625,21170,"Women Fashion"
"P802187","BWS_E006G",32625,27376,"Women Fashion"
"P850429","BWS_E005B-Clear",32625,21518,"Women Fashion"
"P591938","BWS_B020B",32625,20880,"Women Fashion"
"P457699","BWS_E044B",32625,23490,"Women Fashion"
"P662796","BWS_N014B",32625,21170,"Women Fashion"
"P561818","BWS_N015B",32625,20532,"Women Fashion"
"P486592","BWS_N013B",32625,26738,"Women Fashion"
"P248725","BWS_PN057C",32625,25752,"Women Fashion"
"P240631","BWS_MB007D",32625,22156,"Women Fashion"
"P826364","Atalian _DV206A-Brown-41",324597,243426,"Men Fashion"
"P505127","Atalian _DV206A-Brown-44",324597,204450,"Men Fashion"
"P295326","Atalian _DV206A-Brown-43",324597,269410,"Men Fashion"
"P724227","Xarasoft_2545-BLACK-41",32439.4,28536,"Men Fashion"
"P175943","Xarasoft_5103-BLACK-41",32439.4,23026,"Men Fashion"
"P840000","Xarasoft_5902-BROWN-44",32439.4,25288,"Men Fashion"
"P260835","motif_MSH-262-Blue-XL",31871,27086,"Men Fashion"
"P753213","motif_MPT-524-BLACK-32",31871,24534,"Men Fashion"
"P461167","motif_MPT-524-BLACK-33",31871,20068,"Men Fashion"
"P774071","motif_MPT-524-BLACK-36",31871,19430,"Men Fashion"
"P498365","motif_MPT-215-Navy-34",31871,23258,"Men Fashion"
"P993582","motif_MPT-215-Navy-36",31871,20706,"Men Fashion"
"P391124","motif_LSH-196-Flower Print-M",31871,25172,"Women Fashion"
"P283106","motif_LSH-196-Flower Print-S",31871,27724,"Women Fashion"
"P649123","motif_MPT-205-Mustard-30",31871,23896,"Men Fashion"
"P902999","motif_MPT-282-Flower Print-38",31871,20996,"Men Fashion"
"P502529","motif_MPT-282-Flower Print-36",31871,21344,"Men Fashion"
"P972856","motif_MPT-205-Mustard-36",31871,25462,"Men Fashion"
"P383105","motif_MPT-524-BLACK-38",31871,19720,"Men Fashion"
"P176675","motif_MPT-524-BLACK-31",31871,28362,"Men Fashion"
"P384571","motif_MPT-524-BLACK-30",31871,25810,"Men Fashion"
"P676069","motif_MPT-282-Flower Print-32",31871,25462,"Men Fashion"
"P894817","motif_MPT-205-Mustard-32",31871,23258,"Men Fashion"
"P271914","motif_MPT-205-Mustard-33",31871,22272,"Men Fashion"
"P458453","motif_MPT-191-Charcoal-40",31871,20706,"Men Fashion"
"P466640","motif_MPT-215-Navy-32",31871,20706,"Men Fashion"
"P291128","motif_MPT-205-Mustard-34",31871,19082,"Men Fashion"
"P547608","motif_MPT-205-Mustard-31",31871,20358,"Men Fashion"
"P397260","motif_MPT-282-Flower Print-30",31871,28652,"Men Fashion"
"P181977","motif_MPT-282-Flower Print-34",31871,25810,"Men Fashion"
"P662853","motif_LSH-196-Flower Print-XL",31871,21344,"Women Fashion"
"P281965","motif_MPT-191-Charcoal-30",31871,19430,"Men Fashion"
"P667135","motif_MPT-282-Flower Print-33",31871,21982,"Men Fashion"
"P239182","R-tree_RT1406-S",31285.2,27202,"Men Fashion"
"P613527","ihijab_CN010",28971,22562,"Women Fashion"
"P234048","motif_MST-599-Black-38",28971,19082,"Men Fashion"
"P524585","motif_MST-599-BLUE-32",28971,21692,"Men Fashion"
"P437675","ihijab_CN016",28971,20822,"Women Fashion"
"P304698","motif_MST-599-Black-32",28971,24012,"Men Fashion"
"P704921","motif_MST-599-Brown Camo-32",28971,19372,"Men Fashion"
"P212950","ihijab_CN018",28971,18792,"Women Fashion"
"P226984","motif_MST-1045-D-Green Camo-34",28971,20822,"Men Fashion"
"P948299","motif_MST-599-Black Thread-32",28971,18502,"Men Fashion"
"P915020","motif_MST-599-Black Thread-36",28971,23432,"Men Fashion"
"P707860","motif_MST-599-Black Thread-38",28971,24012,"Men Fashion"
"P234712","motif_MST-599-Beige-36",28971,24592,"Men Fashion"
"P171760","motif_MST-599-Green-34",28971,19662,"Men Fashion"
"P202478","motif_MST-599-Beige-34",28971,24012,"Men Fashion"
"P998127","AT-ABACUS-3",28573.7,19662,"Kids & Baby"
"P467533","Darul_Sakoon_Food_Bundle",2870.42,2378,"Superstore"
"P699515","emo_LJ-19359-34",28379.4,23548,"Women Fashion"
"P341705","Aybeez_ABZ-112",27822.6,16646,"Men Fashion"
"P320643","Aybeez_ABZ-275-XL",27816.8,22214,"Men Fashion"
"P482808","Aybeez_ABZ-275-M",27816.8,20532,"Men Fashion"
"P885995","Aybeez_ABZ-275-S",27816.8,20532,"Men Fashion"
"P584186","Aybeez_ABZ-275-L",27816.8,23316,"Men Fashion"
"P200433","saloni_Golden Pearl 15",27187.5,22562,"Beauty & Grooming"
"P332248","ihijab_PN045",26071,20300,"Women Fashion"
"P865384","AT-ABC123P2-36",25667.9,19488,"Kids & Baby"
"P504555","AT-ABC123P-29",25667.9,17690,"Kids & Baby"
"P920446","Aybeez_ABZ-277-L",25496.8,17284,"Men Fashion"
"P403459","Aybeez_ABZ-277-M",25496.8,22910,"Men Fashion"
"P791917","Aybeez_ABZ-277-XL",25496.8,17052,"Men Fashion"
"P322027","Aybeez_ABZ-277-S",25496.8,19372,"Men Fashion"
"P432809","valarie_CHE 01 GD-GOLDEN-S",24806.6,18328,"Women Fashion"
"P486549","Echange_EP_16-L",24545.6,17864,"Men Fashion"
"P101898","Origins_17SE36-XL",243165,165300,"Women Fashion"
"P876807","AT-ISW-26",23730.7,19430,"Kids & Baby"
"P650321","Aardee_ARFB-6557-GWT",284.2,174,"Appliances"
"P598684","motif_BLT-009-Beige-36",23171,20822,"Men Fashion"
"P213167","motif_MPT-403-Yellow-30",23171,15486,"Men Fashion"
"P703161","ihijab_PN046",23171,14558,"Women Fashion"
"P756585","ihijab_PN009",23171,20822,"Women Fashion"
"P761635","motif_BLT-009-Navy-40",23171,17806,"Men Fashion"
"P432974","motif_BLT-007-Grey-32",23171,18038,"Men Fashion"
"P224224","motif_BLT-007-Khaki-38",23171,20126,"Men Fashion"
"P775454","motif_BLT-008-Grey-32",23171,15022,"Men Fashion"
"P663206","motif_BLT-007-Grey-36",23171,19198,"Men Fashion"
"P215550","motif_BLT-009-Grey-30",23171,17574,"Men Fashion"
"P215268","motif_BLT-008-Navy-34",23171,14094,"Men Fashion"
"P469601","motif_BLT-008-Blue-32",23171,20358,"Men Fashion"
"P229955","HP_15AY-15-Ay072NIA-ci3",2265625,1631250,"Computing"
"P788713","saloni_Golden Pearl 25",22475,19314,"Beauty & Grooming"
"P401394","saloni_Golden Pearl 19",22475,14152,"Beauty & Grooming"
"P277039","saloni_Golden Pearl 24",22475,13688,"Beauty & Grooming"
"P973004","AT-60PPB-34",22277.8,14906,"Kids & Baby"
"P319586","ajmery_BSK-895-Medium",21984.9,13630,"Men Fashion"
"P510566","ajmery_TH281FA1DY0O8NAFAMZ-S",21984.9,13166,"Men Fashion"
"P566604","ajmery_BSK-895-XL",21984.9,15138,"Men Fashion"
"P343077","ajmery_TH281FA1DY0O8NAFAMZ-XL",21984.9,13166,"Men Fashion"
"P650456","AKL_A131131285_FC-04",219385,179858,"Women Fashion"
"P995744","akl_A132124689_GFSU1140-XL",216775,195054,"Women Fashion"
"P275050","piapl_9789350251805",21149.7,13282,"School & Education"
"P628890","motif_BPT-506-D-Green Camo-4",20851,14152,"Kids & Baby"
"P456899","motif_BPT-506-Green Camo-4",20851,16646,"Kids & Baby"
"P825992","motif_BPT-506-Artic Camo-12",20851,14558,"Kids & Baby"
"P560772","motif_BPT-506-D-Green Camo-12",20851,17458,"Kids & Baby"
"P291515","motif_BPT-506-Artic Camo-10",20851,14558,"Kids & Baby"
"P621269","motif_BPT-506-Green Camo-8",20851,12876,"Kids & Baby"
"P907981","motif_BPT-506-D-Green Camo-8",20851,14790,"Kids & Baby"
"P721893","motif_BPT-506-Artic Camo-6",20851,13746,"Kids & Baby"
"P521815","motif_BPT-506-D-Green Camo-6",20851,12702,"Kids & Baby"
"P800022","motif_BPT-506-D-Green Camo-10",20851,18328,"Kids & Baby"
"P337604","motif_BPT-506-Green Camo-6",20851,13108,"Kids & Baby"
"P781424","motif_BPT-506-Artic Camo-8",20851,13108,"Kids & Baby"
"P602987","AmanJee_AJH-012",20735,15312,"Women Fashion"
"P718842","Origins_17SE35-L",205465,137634,"Women Fashion"
"P950611","Origins_17SE41-XS",205465,152018,"Women Fashion"
"P608645","iGeek_Night Use Selfie Enhancing Flash Light for Smart Phones - ",20402.08,18154,"Mobiles & Tablets"
"P985828","UnzeLondon_GS4666-9",202855,172376,"Men Fashion"
"P381119","UnzeLondon_GS5348-10",202855,139954,"Men Fashion"
"P859774","UnzeLondon_GS5348-11",202855,168316,"Men Fashion"
"P132466","UnzeLondon_GS4339-8",202855,127774,"Men Fashion"
"P746992","UnzeLondon_GS4356-10",202855,180496,"Men Fashion"
"P499423","UnzeLondon_GS5348-9",202855,158224,"Men Fashion"
"P714824","UnzeLondon_GS4904-10",202855,141984,"Men Fashion"
"P786801","UnzeLondon_GS4339-7",202855,158224,"Men Fashion"
"P167267","Atalian _A6681-Brown-42",202797,131776,"Men Fashion"
"P931830","Atalian _1387.1-Brown-44",202797,164256,"Men Fashion"
"P462536","Atalian _1387.1-Black-45",202797,164256,"Men Fashion"
"P163790","Atalian _1387.1-Black-44",202797,170346,"Men Fashion"
"P947059","Atalian _A6681-Brown-43",202797,162226,"Men Fashion"
"P601593","akl_A132124669_GFSU1136-L",202275,151670,"Women Fashion"
"P122985","akl_A132124669_GFSU1136-M",202275,173942,"Women Fashion"
"P539772","akl_A132124669_GFSU1136-XL",202275,139548,"Women Fashion"
"P623361","Origins_17SE42-S",197925,148422,"Women Fashion"
"P661295","Mtech_MXQ-4K-Android-TV-Box-IPTV-1200",197727.22,136416,"Entertainment"
"P568947","BWS_PN061D",19575,12122,"Women Fashion"
"P861332","BWS_B014E",19575,14848,"Women Fashion"
"P583053","ajmery_KA606FAEPEAFNAFAMZ-M",19285,13862,"Women Fashion"
"P516359","ajmery_TH281FA0Q0E5KNAFAMZ-Adjustable",19285,15428,"Women Fashion"
"P276759","UnzeLondon_GS4644-11",188355,137460,"Men Fashion"
"P619016","UnzeLondon_GS4643-10",188355,143144,"Men Fashion"
"P180844","UnzeLondon_GS4645-9",188355,135604,"Men Fashion"
"P814061","UnzeLondon_GS4177-9",188355,141230,"Men Fashion"
"P477660","UnzeLondon_GS4643-8",188355,139374,"Men Fashion"
"P127847","AmanJee_PYB-0008",185553.6,118726,"Home & Living"
"P553968","AmanJee_PYB-0007",185553.6,111302,"Home & Living"
"P303314","motif_BST-533-Flower Print-6",18531,11484,"Kids & Baby"
"P672852","Paramount_9781107677364",182856.6,138968,"School & Education"
"P447157","Paramount_9781107697690",182856.6,153584,"School & Education"
"P771696","Atalian _Brogue4-Brown-9",182497,125918,"Men Fashion"
"P180427","Atalian _Ex64-Brown-43",182497,124062,"Men Fashion"
"P193262","Atalian _Ex64-Brown-41",182497,136822,"Men Fashion"
"P789652","Atalian _Brogue4-Brown-7",182497,133168,"Men Fashion"
"P434812","Atalian _Brogue4-Brown-11",182497,131370,"Men Fashion"
"P719712","Atalian _Ex64-Brown-39",182497,109446,"Men Fashion"
"P793740","HAS_DisplayPort DP to DisplayPort DP Cable - 1.5m  Converter",17545,12412,"Computing"
"P414302","e-seller_203",17417.4,15660,"Mobiles & Tablets"
"P483605","Aardee_ARFB-6520GW",226.2,116,"Appliances"
"P665556","UnzeLondon_GS5406-9",173855,121684,"Men Fashion"
"P945763","UnzeLondon_GS5404-9",173855,126904,"Men Fashion"
"P123437","UnzeLondon_GS5405-9",173855,135604,"Men Fashion"
"P745153","UnzeLondon_GS5407-10",173855,140766,"Men Fashion"
"P261550","UnzeLondon_GS5404-10",173855,130384,"Men Fashion"
"P346967","AKL_A131128712_SS-48_Yellow",173275,103936,"Women Fashion"
"P616940","AKL_A131130441_SS-128_Mustard",173275,124758,"Women Fashion"
"P327679","AKL_A131130445_SS-133_Blue",173275,154164,"Women Fashion"
"P567063","Valarie_LF 02-XL",16965,12180,"Women Fashion"
"P688431","Valarie_LF 04-XL",16965,14210,"Women Fashion"
"P712284","Valarie_MFP 11-L",16965,10150,"Men Fashion"
"P867105","Valarie_MFP 02-XL",16965,11194,"Men Fashion"
"P354823","Valarie_LF 01-S",16965,13398,"Women Fashion"
"P371678","STBB_Asaan sindhi 4 by Shafie Muhammad",1722.6,1218,"School & Education"
"P950956","saloni_Golden Pearl 2",16675,13456,"Beauty & Grooming"
"P687780","ajmery_TH281FAEPE9UNAFAMZ-M",16474.9,9860,"Men Fashion"
"P736695","ajmery_TH281FAEPE9UNAFAMZ-S",16474.9,13630,"Men Fashion"
"P657259","ajmery_TH281FAEPE9VNAFAMZ-XL",16474.9,11194,"Men Fashion"
"P859599","ajmery_TH281FAEPE9UNAFAMZ-XL",16474.9,12818,"Men Fashion"
"P819569","ajmery_TH281FAEPE9VNAFAMZ-S",16474.9,12470,"Men Fashion"
"P755826","ajmery_TH281FAEPE9VNAFAMZ-L",16474.9,14152,"Men Fashion"
"P517923","Zia_HS9",16443,12934,"Books"
"P753207","saloni_Golden Pearl 16",16312.5,10440,"Beauty & Grooming"
"P760430","Atalian _BK333.21-Brown-44",162197,123250,"Men Fashion"
"P514134","Atalian _LA168.7-Brown-42",162197,115130,"Men Fashion"
"P203391","Atalian _CM118.204-Brown-42",162197,124874,"Men Fashion"
"P866195","Atalian _LA168.7-Black-44",162197,136242,"Men Fashion"
"P666670","Atalian _WF315.6-Black-41",162197,141056,"Men Fashion"
"P224360","Atalian _LA301.10-Burgundy-42",162197,144304,"Men Fashion"
"P645829","Atalian _LA301.10-Burgundy-41",162197,116754,"Men Fashion"
"P709754","Atalian _LA301.10-Black-39",162197,123250,"Men Fashion"
"P268104","Atalian _LA301.10-Burgundy-39",162197,98890,"Men Fashion"
"P700751","Atalian _LA168.7-Brown-43",162197,105386,"Men Fashion"
"P257859","Atalian _BK188.42-Brown-40",162197,118378,"Men Fashion"
"P432061","Atalian _WF315.6-Black-43",162197,128122,"Men Fashion"
"P742441","Atalian _LA2369.5-Black-43",162197,131370,"Men Fashion"
"P760010","Atalian _BK17.01-Brown-40",162197,141056,"Men Fashion"
"P504635","AT-PBP-25",15981.9,9570,"Kids & Baby"
"P737459","BWS_PN022C",15225,10324,"Women Fashion"
"P765304","BWS_PN022B",15225,13050,"Women Fashion"
"P333404","Emo-TS-15087 Black V-Neck T-ShirtMedium",15225,9860,"Men Fashion"
"P116310","BWS_EC015C",15225,12006,"Women Fashion"
"P255419","BWS_EC015B",15225,10150,"Women Fashion"
"P117198","BWS_R030C",15225,13398,"Women Fashion"
"P570397","BWS_R030B",15225,12180,"Women Fashion"
"P136487","Atalian _CM118.201-Black-44",150017,124468,"Men Fashion"
"P399111","Atalian _CM118.201-Brown-42",150017,109504,"Men Fashion"
"P361139","Base_1421",147407,104632,"Health & Sports"
"P991788","PZ_108",14703,12644,"Health & Sports"
"P223058","Origins_17SE61A-XL",145145,97208,"Women Fashion"
"P987099","UnzeLondon_GS5179-11",144855,121626,"Men Fashion"
"P191193","UnzeLondon_L27944-7",144855,91234,"Women Fashion"
"P593330","UnzeLondon_L27946-5",144855,92684,"Women Fashion"
"P341040","UnzeLondon_GS5434-6",144855,97034,"Men Fashion"
"P449767","UnzeLondon_GS5419-11",144855,108634,"Men Fashion"
"P282029","UnzeLondon_GS5420-9",144855,114434,"Men Fashion"
"P490445","ihijab_CAPB030",14471,9106,"Women Fashion"
"P491796","saloni_Golden Pearl 28",14427.5,10382,"Beauty & Grooming"
"P710835","saloni_Golden Pearl 17",14427.5,8642,"Beauty & Grooming"
"P571716","Echange_EP_15-L",13873.6,9570,"Men Fashion"
"P207768","UnzeLondon_L27851-6",130355,92510,"Women Fashion"
"P710834","UnzeLondon_L27851-5",130355,102950,"Women Fashion"
"P552236","Origins_17SE47-M",130065,85840,"Women Fashion"
"P249468","Origins_17SE47-L",130065,117044,"Women Fashion"
"P270270","ATZ_4SliceToaster-Arto-7004",128888.76,106952,"Appliances"
"P206533","AT-SPT-23",12107.5,8816,"Kids & Baby"
"P117912","AT-123PT-24",12107.5,10150,"Kids & Baby"
